feature,importance_mean,importance_std
verification_status,0.005605605605605535,0.0027668218140310917
credit_history_years,0.0054054054054053615,0.0038300553492910993
revol_util,0.004004004004003969,0.004498939950799631
open_acc,0.004004004004003947,0.003978900283153519
initial_list_status_w,0.0038038038038037516,0.0016629877603439587
dti,0.003703703703703665,0.002612209880019982
purpose,0.0031031031031030555,0.002121083093134853
emp_length,0.0030030030030029796,0.002193083313333995
issue_years,0.0029029029029028373,0.003965025489557223
mort_acc,0.002702702702702675,0.0030046708748355756
home_ownership_OWN,0.002702702702702653,0.0014880949697015358
revol_bal,0.0015015015015014566,0.004346004673892365
emp_length_missing,0.0014014014014013699,0.0012819067542407816
annual_inc,0.0013013013013012497,0.004104104104104103
application_type_Joint App,0.0011011011011010762,0.0003003003003002935
mort_acc_missing,0.0009009009009008806,0.0007007007007006848
home_ownership_RENT,0.0009009009009008695,0.0027027027027026946
total_acc,0.0005005005005004448,0.0037520850478460948
pub_rec_bankruptcies,0.00020020020020016237,0.0013279778940362046
installment,-0.0012012012012012519,0.0028594308022193596
pub_rec,-0.0015015015015015566,0.001205364822701932
term,-0.0026026026026026326,0.0045696545387440765
home_ownership_MORTGAGE,-0.0028028028028028507,0.0029626924097995635
loan_amnt,-0.0032032032032032532,0.0045167223914628525
int_rate,-0.015115115115115174,0.007470043326048306
grade,-0.015515515515515577,0.00512860398696676
sub_grade,-0.018718718718718753,0.00902067979451919
